X,Y,id_1,match_addr,ein,name,ico,street,city_1,state,zip,group_,subsection,affiliatio,classifica,ruling,deductibil,foundation,activity,organizati,status_1,tax_period,asset_cd,income_cd,filing_req,pf_filing_,acct_pd,asset_amt,income_amt,revenue_am,code,zip5,zip4,eco,lat,long,descriptio,category
-84.2551,34.0785,814599,3595 Webb Bridge Rd+ Alpharetta+ Georgia+ 30005,201592164,ALPHARETTA HIGH SCHOOL ORCHESTRA ASSOCIATION INC,% WILLIAM BRYANT,3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005-4140,0,3,3,1000,201509,1,15,0,5,1,,0,0,1,0,5,,,,B11,30005,4140,,34.0785,-84.2551,Single Organization Support,education
-84.2551,34.0785,814600,3595 Webb Bridge Rd+ Alpharetta+ Georgia+ 30005,200870882,PTA GEORGIA CONGRESS,,3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005-4140,1595,3,9,2000,196309,1,16,59035000,5,1,201406,1,3,1,0,6,9746,66328,66328,,30005,4140,,34.0785,-84.2551,,
-84.2551,34.0785,814601,,201601169,ENABLER FOUNDATION INC,% ALAN W COX,PO BOX 675947,MARIETTA,GA,30006-0024,0,3,3,1000,200509,1,4,0,1,1,201312,6,0,0,1,12,1065140,0,,T22,30006,24,,,,Private Independent Foundations,philanthropy
-84.2551,34.0785,814602,,20793417,ZETA PHI BETA SORORITY INC,% DEMISHIA WRIGHT,PO BOX 672046,MARIETTA,GA,30006-0035,1474,7,9,1000,196001,2,0,36279040,5,1,201506,0,0,2,0,6,0,0,0,,30006,35,,,,,
-84.5912,33.8877,814604,1351 Windage Ct SW+ Marietta+ Georgia+ 30008,200783822,TRUE VINE INTERNATIONAL MINISTRIES INC,% FAITH ANN BRIDGES,1351 WINDAGE COURT SW,MARIETTA,GA,30008-0000,0,3,3,7000,200406,1,10,0,1,1,,0,0,6,0,12,,,,X21,30008,0,,33.8877,-84.5912,Protestant,religious
-84.5976,33.8703,814605,3445 King Arthur Dr SW+ Marietta+ Georgia+ 30008,10922991,CROSSROADS COMMUNITY CHURCH,% DAREN PATRICK,3445 KING ARTHUR DR SW,MARIETTA,GA,30008-7679,0,3,3,7000,201006,1,10,0,1,1,,0,0,6,0,12,,,,X21,30008,7679,,33.8703,-84.5976,Protestant,religious
-84.5976,33.8703,814606,,141883397,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF GEORGIA,% HARVARD V HOPKINS,PO BOX 281,ALPHARETTA,GA,30009-0281,2756,19,9,1000,197701,1,0,907000000,5,1,201406,0,0,2,0,6,0,0,0,,30009,281,,,,,
-84.2099,34.0634,814608,5090 Abbotts Bridge Rd+ Johns Creek+ Georgia+ 30005,50547021,FRIENDS OF THE OCEE LIBRARY INC,% AC HORTON,5090 ABBOTTS BRIDGE RD,JOHNS CREEK,GA,30005-4601,0,3,3,1000,200302,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,B11,30005,4601,,34.0634,-84.2099,Single Organization Support,education
-84.2807,34.0992,814609,13060 Cogburn Rd+ Milton+ Georgia+ 30004,201134280,PTA GEORGIA CONGRESS,% LISA FAZZARI,13060 COGBURN RD,MILTON,GA,30004-3605,1595,3,9,2000,196309,1,16,59035000,5,1,201506,0,0,2,0,6,0,0,0,,30004,3605,,34.0992,-84.2807,,
-84.3068,34.0604,814610,625 Sims Industrial Blvd+ Alpharetta+ Georgia+ 30009,10663564,ABUNDANT LIFE COMMUNITY CHURCH INC,% ANDRE L BLYTHE PASTOR,625 SIMS INDUSTRIAL BLVD STE A,ALPHARETTA,GA,30009-2095,0,3,3,1000,200208,1,10,0,1,1,,0,0,0,0,12,,,,X21,30009,2095,,34.0604,-84.3068,Protestant,religious
-84.3068,34.0604,814611,,61645607,WORD OF FAITH INTERNATIONAL CHURCH INC,% AUDREY L HARRIS,PO BOX 1386,ALPHARETTA,GA,30009-1386,0,3,3,7000,200309,1,10,0,1,1,,0,0,6,0,12,,,,X21,30009,1386,,,,Protestant,religious
-84.3068,34.0604,814612,,20665623,MILTON HIGH SCHOOL BAND FOUNDATION INC,% CHRIS LUETTGEN,PO BOX 411,ALPHARETTA,GA,30009-0411,0,3,3,2100,200305,1,15,0,1,1,201212,2,1,2,0,12,12445,1732,0,B11,30009,411,,,,Single Organization Support,education
-84.3068,34.0604,814613,,200338280,AWAKE INCORPORATED,% PENELOPE BATTS,PO BOX 86,ALPHARETTA,GA,30009-0086,0,3,3,1000,200512,1,15,0,0,1,201412,0,0,2,0,12,0,0,0,P46,30009,86,,,,Family Counseling,human_services
-84.3068,34.0604,814614,,10742655,ALPHA TAU OMEGA FRATERNITY,% BRYANT WHELAN,PO BOX 924072,NORCROSS,GA,30010-4072,287,7,9,1000,194101,0,0,36000000,5,1,201312,0,0,2,0,12,0,0,0,,30010,4072,,,,,
-84.3068,34.0604,814615,,200245876,WELLSPRING GROUP,% LARRY K BOLDEN,PO BOX 922173,NORCROSS,GA,30010-2173,0,3,3,1000,200405,1,15,0,1,1,201412,4,5,1,0,12,355042,833970,833970,X21,30010,2173,,,,Protestant,religious
-84.3068,34.0604,814616,,200517196,WOMEN WALKING WORTHY INC,% LINDA ARNOLD,PO BOX 1132,AUBURN,GA,30011-1132,0,3,3,1200,200407,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,B90,30011,1132,,,,Educational Services,elementary_secondary_schools
-84.3068,34.0604,814617,,200318021,TREES CONYERS INC,% DANIEL S DIGBY,PO BOX 263,CONYERS,GA,30012-0263,0,3,3,1000,200307,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,C30,30012,263,1,,,Natural Resources Conservation & Protection,environment
-84.3068,34.0604,814618,,10657646,INTERNATIONAL APOSTOLIC MISSIONS,% JONATHAN ALVEAR,PO BOX 501,CONYERS,GA,30012-0501,0,3,3,1000,200904,1,15,0,1,1,201412,3,6,1,0,12,98343,1597680,1597680,T30,30012,501,,,,Public Foundations,philanthropy
-84.2847,34.0589,814620,2500 Northwinds Pkwy+ Alpharetta+ Georgia+ 30009,10700751,TRUTH FUND I INC,% SUNTRUST,2500 NORTHWINDS PKWY STE 275,ALPHARETTA,GA,30009-2265,0,3,3,1000,200206,1,4,0,1,1,201312,4,3,0,1,12,143094,66643,,T22,30009,2265,,34.0589,-84.2847,Private Independent Foundations,philanthropy
-84.2392,34.0941,814627,3070 Windward Plz+ Alpharetta+ Georgia+ 30005,43615606,FRIENDS OF THE GEORGIA CUP INC,% PRESIDENT,3070 WINDWARD PLAZA STE F313,ALPHARETTA,GA,30005-8771,0,3,3,1000,200305,1,16,0,1,1,201312,3,4,1,0,12,54491,453016,453016,B118,30005,8771,,34.0941,-84.2392,,
-84.2392,34.0941,814628,,43664221,BETHEL UNITED APOSTOLIC GROUP MINISTRIES,% PASTOR GEORGE M HENRY,PO BOX 81151,CONYERS,GA,30013-9151,0,3,3,1700,200411,1,10,0,1,1,,2,2,6,0,12,,,,X20,30013,9151,,,,Christianity,religious
-84.2646,34.0975,814633,13000 Deerfield Pkwy+ Milton+ Georgia+ 30004,134268623,EXIDE ACTIVITIES COMMITTEE,% SUSAN BALDINI,13000 DEERFIELD PARKWAY,MILTON,GA,30004-6119,0,4,3,3000,200503,2,0,0,5,1,201501,0,0,2,0,1,0,0,0,S20,30004,6119,,34.0975,-84.2646,Community & Neighborhood Development,community_capacity_bldg
-84.3109,34.059,814634,11415 Old Roswell Rd+ Alpharetta+ Georgia+ 30009,201330930,ATLANTA ACE VOLLEYBALL INC,% BAYNE TIPPINS,11415 OLD ROSWELL RD STE 200,ALPHARETTA,GA,30009-2084,0,3,3,2000,200512,1,16,0,1,1,201407,5,6,1,0,7,835510,3169000,3169000,O50,30009,2084,,34.059,-84.3109,Youth Development Programs,youth_dev
-83.9497,33.9117,814652,31 Wild Oat Ct+ Grayson+ Georgia+ 30017,161764071,WOMENS CORNER INC,% MARY ROBERTS,31 WILD OAT CT,GRAYSON,GA,30017-4178,0,3,3,1000,201406,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,J20,30017,4178,,33.9117,-83.9497,Employment Preparation & Procurement,employment
-84.3013,34.0679,814653,285 S Main St+ Alpharetta+ Georgia+ 30009,161675588,AMANA ACADEMY INC,% EHAB S JALEEL,285 S MAIN ST,ALPHARETTA,GA,30009-1937,0,3,3,2000,200404,1,11,0,1,1,201406,7,7,1,0,6,9370340,5652660,5452190,B29,30009,1937,,34.0679,-84.3013,Charter Schools,elementary_secondary_schools
-83.961,33.8827,814655,2634 Chestnut Walk Dr+ Grayson+ Georgia+ 30017,201248641,LIVING HOPE COMMUNITY CENTER INC,% DALE R RECTOR,2634 CHESTNUT WALK DR,GRAYSON,GA,30017-1696,0,3,3,1000,200605,1,15,0,1,1,201412,4,5,1,0,12,132276,519590,519590,Q30,30017,1696,,33.8827,-83.961,International Development,international
-83.986,33.8575,814656,1741 Athens Hwy+ Grayson+ Georgia+ 30017,200006249,HARBOUR OAKS MONTESSORI SCHOOL PARENT TEACHER ORGANIZATION INC,% TRACY BURKE,1741 ATHENS HWY,GRAYSON,GA,30017-1532,0,3,3,1000,200309,1,16,0,1,1,201405,0,0,2,0,5,0,0,0,B20,30017,1532,,33.8575,-83.986,,
-83.8651,33.955,814657,2785 Harbins Mill Dr+ Dacula+ Georgia+ 30019,161660770,BIG FAITH TEMPLE HOLINESS CHURCH INC,% JOHNNY F MOORE,2785 HARBINS MILL DR,DACULA,GA,30019-1992,0,3,3,7000,200406,1,10,0,1,1,,0,0,6,0,12,,,,X20,30019,1992,,33.955,-83.8651,Christianity,religious
-83.8898,33.9796,814658,2538 Forestdale Dr+ Dacula+ Georgia+ 30019,141919069,RESTORATION UNITED CHURCH OF GOD IN CHRIST,% PAS EDDIE R WILLIAMS JR,2538 FORESTDALE DR,DACULA,GA,30019-1463,3317,3,9,7000,199112,1,10,1000000,1,1,,0,0,6,0,6,,,,,30019,1463,,33.9796,-83.8898,,
-83.8898,33.9796,814659,,201237292,MILL CREEK HIGH SCHOOL BAND BOOSTER CLUB INC,% KEN SMITH,PO BOX 1637,DACULA,GA,30019-0028,0,3,3,1000,201408,1,16,0,1,1,201503,3,4,1,0,3,45946,197192,197192,B94,30019,28,,,,Parent & Teacher Groups,elementary_secondary_schools
-83.8898,33.9796,814660,,200024938,KOKORO-BUSHI-DO KEMPO KARATE,% BENSON CAMPBELL,PO BOX 1875,DACULA,GA,30019-0032,0,3,3,2100,201006,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,I20,30019,32,,,,Crime Prevention,crime_and_legal
-83.8898,33.9796,814661,,113745849,NEW SUDAN PRESBYSTERIAN CHURCH,% MOSES CHOL,PO BOX 336,CLARKSTON,GA,30021-0336,0,3,3,2700,200512,1,10,0,1,1,201212,0,0,6,0,12,0,0,0,X21,30021,336,,,,Protestant,religious
-83.8898,33.9796,814662,,10910365,GLOBAL RELIEF CENTER,% MOHAMUD ABDULLAHI,PO BOX 224,CLARKSTON,GA,30021-0224,0,3,3,1200,200903,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,P40,30021,224,,,,Family Services,human_services
-83.8999,33.9675,814663,770 Ewing Chapel Rd+ Dacula+ Georgia+ 30019,201041914,PTA GEORGIA CONGRESS,% ANDREA LONG,770 EWING CHAPEL RD,DACULA,GA,30019-2596,1595,3,9,2000,196309,1,16,59035000,5,1,201506,1,3,1,0,6,6136,54971,26782,,30019,2596,,33.9675,-83.8999,,
-83.898,34.0603,814664,3925 Greenside Ct+ Dacula+ Georgia+ 30019,201393368,MILL CREEK HIGH SCHOOL GOAL CLUB INC,% LORI MILLER,3925 GREENSIDE CT,DACULA,GA,30019-4595,0,3,3,2100,200612,1,16,0,1,1,201407,2,3,1,0,7,15627,57634,57634,B11,30019,4595,,34.0603,-83.898,Single Organization Support,education
-83.909,34.0299,814665,35 Dacula Rd+ Dacula+ Georgia+ 30019,201140796,SOMEONE TO TALK TO INC,% MINISTER H G GOOCH,35 DACULA RD,DACULA,GA,30019-2135,0,3,3,1000,200411,1,15,0,1,1,201412,1,0,2,0,12,1,0,0,P40,30019,2135,,34.0299,-83.909,Family Services,human_services
-84.2443,33.818,814666,3550 Clarkston Industrial Blvd+ Clarkston+ Georgia+ 30021,50554653,JESUS THE WARRIOR KING MINISTRIES NEW & RESTORED CHURCH OF CHRIST IN,% MBUNGU T DINZEI,3550 CLARKSTON INDUSTRIAL BLVD,CLARKSTON,GA,30021-1333,0,3,3,7000,200308,1,10,0,1,1,,0,0,6,0,12,,,,X21,30021,1333,,33.818,-84.2443,Protestant,religious
-84.2567,33.8113,814667,3221 Oakbrook Ln+ Clarkston+ Georgia+ 30021,43607300,GIVE GOD ALL THE GLORY OUTREACH MINISTRIES,% JOSEPH W LEWIS,3221 OAKBROOK LN,CLARKSTON,GA,30021-1004,0,3,3,1700,201502,1,10,0,1,1,,0,0,6,0,12,,,,X20,30021,1004,,33.8113,-84.2567,Christianity,religious
-84.2567,33.8113,814668,,61697974,PROSKUNEO MINISTRIES INC,% JOSHUA DAVIS,PO BOX 1237,CLARKSTON,GA,30021-7237,0,3,3,7000,200308,1,16,0,1,1,201412,2,4,1,0,12,21517,117517,116726,X20,30021,7237,,,,Christianity,religious
-83.8976,34.0051,814669,991 Fairmont Park Dr+ Dacula+ Georgia+ 30019,200906841,LAWRENCEVILLE GETHSEMANE CHURCH OF GOD,% MARIE JOSE CELESTIN,991 FAIRMONT PARK DR,DACULA,GA,30019-6547,2358,3,9,7000,197210,1,10,1000000,5,1,,0,0,6,0,12,,,,,30019,6547,,34.0051,-83.8976,,
-84.2412,34.0302,814670,945 Tresillian Ct+ Alpharetta+ Georgia+ 30022,200454348,RYAN BOSLET SCHOLARSHIP FUND,% CHRISTOPHER P BOSLET,945 TRESILLIAN CT,ALPHARETTA,GA,30022-8039,0,3,3,1000,200402,1,4,0,5,1,201412,1,1,0,1,12,3471,1004,,T90,30022,8039,,34.0302,-84.2412,Named Trusts NEC,philanthropy
-84.0371,34.0217,814671,101 Reynoldston Ct+ Suwanee+ Georgia+ 30024,50595285,TOV VISION COMMUNITY CHURCH INC,% JINCHEOL KIM,101 RAYNOLD STONE COURT,SUWANEE,GA,30021-0000,0,3,3,7000,200510,1,10,0,1,1,,0,0,6,0,12,,,,X20,30021,0,,34.0217,-84.0371,Christianity,religious
-83.9303,33.9812,814672,1635 Winder Hwy+ Dacula+ Georgia+ 30019,10800679,PLEASANT HILL CEMETARY FUND,% DWIGHT WILLIAMS JR,1635 WINDER HWY,DACULA,GA,30019-2219,0,13,3,1000,200401,1,0,0,2,1,201412,0,0,2,0,12,0,0,0,Y50,30019,2219,,33.9812,-83.9303,Cemeteries,mutual_member_benefit
-84.2403,33.8079,814673,3895 Church St+ Clarkston+ Georgia+ 30021,43744929,SUDANESE CHRISTIAN MISSIONARY CHURCH,% ROTHMAN KAWALA,3895 CHURCH ST,CLARKSTON,GA,30021-1710,1702,3,9,7000,196412,1,10,1029000,5,1,,0,0,6,0,12,,,,,30021,1710,,33.8079,-84.2403,,
-84.2703,34.0487,814674,1345 Seale Dr+ Alpharetta+ Georgia+ 30022,200052650,GAVRANOVIC FOUNDATION,% RUSSELL LOVE,1345 SEALE DR,ALPHARETTA,GA,30022-3401,0,3,3,1000,200308,1,4,0,1,1,201412,4,1,0,1,12,133618,1500,,T220,30022,3401,,34.0487,-84.2703,,
-84.2377,33.8118,814675,4007 Church St+ Clarkston+ Georgia+ 30021,50561266,K D MOORE COMMUNITY DEVELOPMENT CENTER INC,% EXECUTIVE DIRECTOR,4007 CHURCH ST,CLARKSTON,GA,30021-1714,0,3,3,2000,201003,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,P99,30021,1714,,33.8118,-84.2377,Human Services NEC,human_services
-84.2101,34.0348,814676,10370 Forest Bridge Dr+ Alpharetta+ Georgia+ 30022,200424606,THE SONGSATIONS,% LORI BARKER,10370 FOREST BRIDGE DR,ALPHARETTA,GA,30022-4527,0,3,3,2000,200410,1,16,0,1,1,201412,0,0,2,0,12,0,0,0,A6B,30022,4527,,34.0348,-84.2101,Singing & Choral Groups,arts
-84.2489,34.0151,814677,1020 Chesson Ct+ Alpharetta+ Georgia+ 30022,200982606,ANTINORI FAMILY FOUNDATION,% SUZANNE ANTINORI,1020 CHESSON CT,ALPHARETTA,GA,30022-7174,0,3,3,1000,200405,1,4,0,2,1,201412,1,1,0,1,12,3404,3500,,T20,30022,7174,,34.0151,-84.2489,Private Grantmaking Foundations,philanthropy
-84.2644,34.0236,814678,10010 Feather Sound Ct+ Alpharetta+ Georgia+ 30022,30568961,CHARLEANS OF ATLANTA INC,% PADDY OLOFINDAYO,10010 FEATHER SOUND CT,ALPHARETTA,GA,30022-5089,0,3,3,1000,200704,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,B84,30022,5089,,34.0236,-84.2644,Alumni Associations,elementary_secondary_schools
-84.216,34.0439,814679,250 Morton Creek Cir+ Alpharetta+ Georgia+ 30022,200065314,WEALTH BUILDING AFTER GRADUATION,% DWIGHT STANLEY MORGAN,250 MORTON CREEK CIR,ALPHARETTA,GA,30022-8100,0,3,3,2000,200401,1,16,0,1,1,201308,1,0,2,0,8,720,0,0,B80,30022,8100,,34.0439,-84.216,Student Services,elementary_secondary_schools
-84.2121,34.0411,814680,5045 Morton Ferry Cir+ Alpharetta+ Georgia+ 30022,201771550,J V OUTREACH INC,% JACQUELINE VERGEZ,5045 MORTON FERRY CIR,ALPHARETTA,GA,30022-6622,0,3,3,1200,200412,1,15,0,1,1,201312,2,2,2,0,12,11733,15071,15071,P20,30022,6622,,34.0411,-84.2121,Human Services,human_services
-84.255,33.997,814681,240 Berry Glen Ct+ Alpharetta+ Georgia+ 30022,200134216,HURLBERT FAMILY FOUNDATION,% GORDON C HURLBERT,240 BERRY GLEN CT,ALPHARETTA,GA,30022-1675,0,3,3,1000,200310,1,4,0,1,1,201412,6,3,0,1,12,1792420,79122,,T22,30022,1675,,33.997,-84.255,Private Independent Foundations,philanthropy
-84.2674,34.0265,814682,507 Haynesbrooke Walk+ Alpharetta+ Georgia+ 30022,131970360,SKY RANCH FOUNDATION INC,,507 HAYNESBROOKE WALK,ALPHARETTA,GA,30022-7544,0,3,3,1000,196404,1,16,927328000,1,1,201406,6,6,1,0,6,4224350,2283400,473507,,30022,7544,,34.0265,-84.2674,,
-84.2465,34.012,814683,4055 Old Southwick Pass+ Johns Creek+ Georgia+ 30022,113832708,TOMORROW FOUNDATION INC,% DAVID R AMES,4055 OLD SOUTHWICK PASS,JOHNS CREEK,GA,30022-7161,0,3,3,1000,200803,1,4,0,1,1,201412,1,1,0,1,12,1,1,,T20,30022,7161,,34.012,-84.2465,Private Grantmaking Foundations,philanthropy
-84.2793,34.0175,814684,9820 Nesbit Ferry Rd+ Alpharetta+ Georgia+ 30022,10611659,FIRST STEPS ACADEMY INC,% HIRAM BOBO,9820 NESBIT FERRY RD,ALPHARETTA,GA,30022-5349,0,3,3,2700,200301,1,11,0,1,1,,2,6,13,0,6,,,,B21,30022,5349,,34.0175,-84.2793,Preschools,elementary_secondary_schools
-84.2793,34.0175,814685,,20716253,CHATTAHOOCHEE HIGH SCHOOL BAND BOOSTERS INC,% JULIA GRANTHAM,PO BOX 4333,ALPHARETTA,GA,30023-4333,0,3,3,1200,200508,1,15,0,1,1,201406,3,4,1,0,6,84217,277437,166046,O50,30023,4333,,,,Youth Development Programs,youth_dev
-84.2793,34.0175,814686,,10365189,CELEBRATION INC,% ROBERT GASS,PO BOX 5160,ALPHARETTA,GA,30023-5160,0,3,3,1000,197911,1,15,7029000,1,1,201412,7,6,1,0,12,6288510,3930550,3930550,,30023,5160,,,,,
-84.2793,34.0175,814687,,113253114,RIVERS IN THE DESERT INTERNATIONAL INC,% SCOTT HOLTZ,PO BOX 2788,ALPHARETTA,GA,30023-2788,0,3,3,1700,199711,1,15,7000000,1,1,201212,0,0,2,0,12,0,0,0,X99Z,30023,2788,,,,,
-84.2011,34.0428,814688,200 Creekside Park Dr+ Johns Creek+ Georgia+ 30022,161725982,PARADIGM COMMUNITY CENTER INC,% DEMETRIUS T NOLTON,200 CREEKSIDE PARK DR,JOHNS CREEK,GA,30022-8106,0,3,3,2000,200511,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,,30022,8106,,34.0428,-84.2011,,
-84.2011,34.0428,814689,,200619507,PROMISED LAND MINISTRIES INC,% CHARLES C LUCAS,PO BOX 2143,SUWANEE,GA,30024-0977,0,3,3,7000,201102,1,10,0,1,1,,0,0,6,0,12,,,,X21,30024,977,,,,Protestant,religious
-84.095,34.0736,814690,4865 Kettle River Pt+ Suwanee+ Georgia+ 30024,61822260,CHAUNCEY DAVIS FOUNDATION INC,% KIMBERLY K HAYNES,4865 KETTLE RIVER PT,SUWANEE,GA,30024-8804,0,3,3,1200,200709,1,15,0,1,1,201212,1,1,2,0,12,2103,6750,6750,,30024,8804,,34.0736,-84.095,,
-84.2311,33.758,814771,1220 Renee Dr+ Decatur+ Georgia+ 30035,161687930,RENEWED WOMEN INC,% LOWANDA BOWMAN,1220 RENEE DR,DECATUR,GA,30035-1056,0,3,3,1000,200610,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,E50,30035,1056,,33.758,-84.2311,Rehabilitative Care,healthcare
-84.2793,34.0175,814691,9820 Nesbit Ferry Rd+ Johns Creek+ Georgia+ 30022,200085243,MPCS DEVELOPMENT INC,% BRENDA SLACK,9820 NESBIT FERRY RD,JOHNS CREEK,GA,30022-5349,0,3,3,2000,201409,1,21,0,1,1,201406,6,0,2,0,6,3478550,0,0,B11,30022,5349,,34.0175,-84.2793,Single Organization Support,education
-84.0696,34.0708,814695,4488 Tench Rd+ Suwanee+ Georgia+ 30024,201042054,PTA GEORGIA CONGRESS,,4488 TENCH RD,SUWANEE,GA,30024-1965,1595,3,9,2000,196309,1,16,59035000,5,1,201506,3,4,1,0,6,36931,122196,72563,,30024,1965,,34.0708,-84.0696,,
-84.2236,34.0476,814699,10945 State Bridge Rd+ Johns Creek+ Georgia+ 30022,20718255,CHATTAHOOCHEE JUNIOR COUGAR FOOTBALL INC,% BRAD MILLER,10945 STATE BRIDGE RD,JOHNS CREEK,GA,30022-8164,0,3,3,1200,200807,1,16,0,1,1,201412,3,4,1,0,12,60391,118459,106128,N65,30022,8164,,34.0476,-84.2236,Football,rec_sports
-84.0546,34.015,814703,437 Old Peachtree Rd NW+ Suwanee+ Georgia+ 30024,161764597,GWINNETT COUNTY PUBLIC SCHOOLS FOUNDATION FUND INC,% ALEXIS KIRIJAN,437 OLD PEACHTREE RD NW,SUWANEE,GA,30024-2978,0,3,3,1000,200609,1,15,0,1,1,201406,6,5,1,0,6,1287090,644530,554635,B82,30024,2978,,34.015,-84.0546,Scholarships & Student Financial Aid,elementary_secondary_schools
-84.0982,34.0279,814704,4042 Ridge Grove Way+ Suwanee+ Georgia+ 30024,161768259,NEW LIFE INTL PROPHETIC OUTREACH MINISTRIES OF THE WORLD INC,,4042 RIDGE GROVE WAY,SUWANEE,GA,30024-4527,0,3,3,7000,200802,1,10,0,1,1,,0,0,6,0,12,,,,X20,30024,4527,,34.0279,-84.0982,Christianity,religious
-84.0415,34.0215,814705,2609 Brynfield Cv+ Suwanee+ Georgia+ 30024,201334432,GLOBAL CHRISTIAN NETWORK,% CHUNGHO BOAZ LEE,2609 BRYNFIELD CV,SUWANEE,GA,30024-7280,0,3,3,1270,200506,1,15,0,1,1,201412,2,4,1,0,12,14793,350734,350734,X82,30024,7280,,34.0215,-84.0415,Religious Television,religious
